CCHANNELCODE,CTITLE_TXT,CONTENT,CRELEASETIME,CRELEASETIME2,CURL,DOCID,FILESIZE,MIMETYPE
8349,中国石化公开发行2010年公司债券募集说明书摘要,1-2-1 发行人声明 本募集说明书摘要依据《中华人民共和国公司法》、《中华人民共和国证,2010-05-19,00:00:00,/disclosure/listedinfo/announcement/c/2010-05-19/600028_20100519_6.pdf,f4fb70e9151d41ab862a703bf8302351,,pdf
8349,双良股份可转换公司债券募集说明书,股票简称：双良股份 股票代码：600481 江苏双良空调设备股份有限公司 （注册地址： 江,2010-04-29,00:00:00,/disclosure/listedinfo/announcement/c/2010-04-29/600481_20100429_3.pdf,021ec8156f1d4eb9a13be3d56609fc9b,,pdf
8349,双良股份可转换公司债券募集说明书摘要,股票简称：双良股份 股票代码：600481 江苏双良空调设备股份有限公司 （注册地址： 江,2010-04-29,00:00:00,/disclosure/listedinfo/announcement/c/2010-04-29/600481_20100429_4.pdf,ff81cbd5821e417cbe756fb617329809,,pdf
9862,营口港务股份有限公司公开发行公司债券募集说明书摘要(修正稿),1-2-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江路8号 公开发行公司债券,2010-02-26,00:00:00,/disclosure/bond/c/2010-02-26/122049_20100226_3a.pdf,CMSold201603186574,,pdf
9862,营口港务股份有限公司公开发行公司债券募集说明书摘要,1-2-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江路8号 公开发行公司债券,2010-02-26,00:00:00,/disclosure/bond/c/2010-02-26/122049_20100226_3.pdf,CMSold201603187047,,pdf
9862,营口港务股份有限公司公开发行公司债券募集说明书,1-1-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江8号 公开发行公司债券募,2010-02-26,00:00:00,/disclosure/bond/c/2010-02-26/122049_20100226_2.pdf,CMSold201603187265,,pdf
9862,营口港务股份有限公司公开发行公司债券募集说明书(修正稿),1-1-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江8号 公开发行公司债券募,2010-02-26,00:00:00,/disclosure/bond/c/2010-02-26/122049_20100226_2a.pdf,CMSold201603187492,,pdf
8349,营口港公开发行公司债券募集说明书(修正稿),1-1-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江8号 公开发行公司债券募,2010-02-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-02-26/600317_20100226_2a.pdf,2f40a0640f894313b1f706a4ee4c9c51,,pdf
8349,营口港公开发行公司债券募集说明书摘要,1-2-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江路8号 公开发行公司债券,2010-02-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-02-26/600317_20100226_3.pdf,9bd8bd959bb14059afdec562fbdc778a,,pdf
8349,营口港公开发行公司债券募集说明书,1-1-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江8号 公开发行公司债券募,2010-02-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-02-26/600317_20100226_2.pdf,a13c8433d05d4e92a3c5eb1e95cc7177,,pdf
8349,营口港公开发行公司债券募集说明书摘要(修正稿),1-2-1 营口港务股份有限公司 住所：辽宁省营口市鲅鱼圈区钱塘江路8号 公开发行公司债券,2010-02-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-02-26/600317_20100226_3a.pdf,ae2cd57617ab48faa5036eef2dd07d6c,,pdf
8349,中国中铁公开发行公司债券募集说明书摘要,1-2-I 中国中铁股份有限公司 （北京市丰台区星火路 1 号） 公开发行公司债券募集说明书,2010-01-25,00:00:00,/disclosure/listedinfo/announcement/c/2010-01-25/601390_20100125_4.pdf,5abfc1f3b2c342b79d99d9f54819ace4,,pdf
8349,中国中铁公开发行公司债券募集说明书,1-1-I 中国中铁股份有限公司 （北京市丰台区星火路 1 号） 公开发行公司债券募集说明书,2010-01-25,00:00:00,/disclosure/listedinfo/announcement/c/2010-01-25/601390_20100125_3.pdf,196128a80b684c53bfc9ab398b243bab,,pdf
8349,王府井公开发行可转换公司债券募集说明书,股票简称：王府井 股票代码：600859 北京王府井百货（集团）股份有限公司 公开发行可转,2009-10-15,00:00:00,/disclosure/listedinfo/announcement/c/2009-10-15/600859_20091015_3.pdf,b415a9efb7f14b95ae511d2c2178aafa,,pdf
