CCHANNELCODE,CTITLE_TXT,CONTENT,CRELEASETIME,CRELEASETIME2,CURL,DOCID,FILESIZE,MIMETYPE
8415,上海汽车认股权和债券分离交易的可转换公司债券募集说明书,1-1-1 股票简称：上海汽车 股票代码：600104 上海汽车集团股份有限公司 （注册地址：上,2007-12-17,00:00:00,/disclosure/listedinfo/announcement/c/2007-12-17/600104_20071217_3.pdf,CMS3662532,,pdf
8349,北大荒发行可转换公司债券募集说明书摘要,股票简称：北大荒 股票代码：600598 黑龙江北大荒农业股份有限公司 Heilongjiang Agri,2007-12-14,00:00:00,/disclosure/listedinfo/announcement/c/2007-12-14/600598_20071214_5.pdf,ee0d59c43c224c90afd154878aad3838,,pdf
8349,北大荒发行可转换公司债券募集说明书,本次证券发行的募集文件 募集说明书 股票简称：北大荒 股票代码：600598 黑龙江北大荒,2007-12-14,00:00:00,/disclosure/listedinfo/announcement/c/2007-12-14/600598_20071214_4.pdf,d9f1a94e8abb4acba7904a868417983e,,pdf
8415,北大荒发行可转换公司债券募集说明书,本次证券发行的募集文件 募集说明书 股票简称：北大荒 股票代码：600598 黑龙江北大荒,2007-12-14,00:00:00,/disclosure/listedinfo/announcement/c/2007-12-14/600598_20071214_4.pdf,CMS3662362,,pdf
8415,北大荒发行可转换公司债券募集说明书摘要,股票简称：北大荒 股票代码：600598 黑龙江北大荒农业股份有限公司 Heilongjiang Agri,2007-12-14,00:00:00,/disclosure/listedinfo/announcement/c/2007-12-14/600598_20071214_5.pdf,CMS3662864,,pdf
8349,日照港认股权和债券分离交易的可转换公司债券募集说明书,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_2.pdf,65361af346d44a8eaf7fc8d37492650a,,pdf
8349,日照港认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_3.pdf,f8ec79907ab8495db087b10962b4cf49,,pdf
8415,日照港认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_3.pdf,CMS3662988,,pdf
8414,日照港认股权和债券分离交易的可转换公司债券募集说明书,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_2.pdf,CMS3661948,,pdf
8414,日照港认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_3.pdf,CMS3661910,,pdf
8415,日照港认股权和债券分离交易的可转换公司债券募集说明书,股票简称：日照港 股票代码：600017 日照港股份有限公司 RIZHAO PORT CO.，LTD. （注册,2007-11-22,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-22/600017_20071122_2.pdf,CMS3663242,,pdf
8349,海油工程公开发行公司债券募集说明书摘要,1-2-1 海洋石油工程股份有限公司 （注册地址：天津市塘沽区丹江路1078号） 公开发行公,2007-11-06,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-06/600583_20071106_5.pdf,b148ca3e0a3f43b0b253e9f4025837ee,,pdf
8349,海油工程公开发行公司债券募集说明书,1-1-1 海洋石油工程股份有限公司 （注册地址：天津市塘沽区丹江路1078号） 公开发行公,2007-11-06,00:00:00,/disclosure/listedinfo/announcement/c/2007-11-06/600583_20071106_4.pdf,cb99b8c2f0904da59e2f01982fac94bf,,pdf
8349,赤天化公开发行可转换公司债券募集说明书（摘要）,贵州赤天化股份有限公司可转债募集说明书摘要 1-2-1 贵州赤天化股份有限公司 公开发行,2007-10-08,00:00:00,/disclosure/listedinfo/announcement/c/2007-10-08/600227_20071008_4.pdf,3fea1df4caa34ff6b7623ed3bcfdae0a,,pdf
8349,赤天化公开发行可转换公司债券募集说明书,证券代码：600227 证券简称：赤天化 贵州赤天化股份有限公司 （贵州省贵阳市新添大道,2007-10-08,00:00:00,/disclosure/listedinfo/announcement/c/2007-10-08/600227_20071008_3.pdf,9e1f79b51c5d4ff9b86682fe012d17dc,,pdf
8415,赤天化公开发行可转换公司债券募集说明书,证券代码：600227 证券简称：赤天化 贵州赤天化股份有限公司 （贵州省贵阳市新添大道,2007-10-08,00:00:00,/disclosure/listedinfo/announcement/c/2007-10-08/600227_20071008_3.pdf,CMS3662318,,pdf
8415,赤天化公开发行可转换公司债券募集说明书（摘要）,贵州赤天化股份有限公司可转债募集说明书摘要 1-2-1 贵州赤天化股份有限公司 公开发行,2007-10-08,00:00:00,/disclosure/listedinfo/announcement/c/2007-10-08/600227_20071008_4.pdf,CMS3663284,,pdf
8349,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称: 深高速、深圳高速（HK） 代码: 600548、0548（HK） 深圳高速公路股份有限公,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_4.pdf,8e2348e4298149299ead91a12df917c2,,pdf
8349,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书,股票简称： 深高速、深圳高速（HK） 代码： 600548、0548（HK） 深圳高速公路股份有限,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_3.pdf,ce5940290ffd4b5e9e5f417ec892adca,,pdf
8415,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书,股票简称： 深高速、深圳高速（HK） 代码： 600548、0548（HK） 深圳高速公路股份有限,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_3.pdf,CMS3663026,,pdf
8414,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书,股票简称： 深高速、深圳高速（HK） 代码： 600548、0548（HK） 深圳高速公路股份有限,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_3.pdf,CMS3661916,,pdf
8415,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称: 深高速、深圳高速（HK） 代码: 600548、0548（HK） 深圳高速公路股份有限公,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_4.pdf,CMS3662656,,pdf
8414,深高速公开发行认股权和债券分离交易的可转换公司债券募集说明书摘要,股票简称: 深高速、深圳高速（HK） 代码: 600548、0548（HK） 深圳高速公路股份有限公,2007-09-25,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-25/600548_20070925_4.pdf,CMS3661868,,pdf
8349,恒源煤电可转换公司债券募集说明书摘要,安徽恒源煤电股份有限公司 （安徽省淮北市濉溪县刘桥镇） 股票简称：恒源煤电 股票代码,2007-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2007-09-20/600971_20070920_4.pdf,0bc33c8455dd478db42bc0464d3e9d7b,,pdf
