公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
襄阳市建设投资经营有限公司,,2017-05-15,38,2,85488,2367,18,17,32,是,2017年襄阳市建设投资经营有限公司公司债券募集说明书（更正版）_2922615023835259
宜昌高新投资开发有限公司,,2017-05-15,72,4,73877,3265,27,28,43,是,2017年第一期宜昌高新投资开发有限公司双创孵化专项债券募集说明书_2920004477818160
宜昌高新投资开发有限公司,,2017-05-15,72,4,73877,3265,27,28,43,是,2017年第一期宜昌高新投资开发有限公司双创孵化专项债券募集说明书_2920004477818160
邳州市润城资产经营集团有限公司,,2017-05-12,46,7,94425,3028,20,26,41,是,2017年邳州市润城资产经营集团有限公司公司债券募集说明书_2913042716268778
公司,,2017-05-11,91,5,80793,3533,28,22,49,是,2017年乌鲁木齐城市建设投资（集团）有限公司小微企业增信集合债券募集说明书_2917243628119805
盐城市灌东经济开发投资有限公司,,2017-05-08,50,4,69528,2935,17,25,41,是,2017年盐城市灌东经济开发投资有限公司公司债券募集说明书_2916347934648380
监利县丰源城市投资开发有限责任公司,,2017-04-28,74,7,77017,3842,25,30,55,是,2017年监利县丰源城市投资开发有限责任公司公司债券募集说明书_2907051595551096
遵义市播州区城市建设投资经营有限公司,,2017-04-27,69,5,79549,3686,29,30,51,是,2017年遵义市播州区城市建设投资经营有限公司公司债券募集说明书_2906253235968681
四川秦巴新城投资集团有限公司,,2017-04-27,37,3,74272,2138,17,15,32,是,2017年四川秦巴新城投资集团有限公司公司债券募集说明书_2906208499232724
北京市基础设施投资有限公司,,2017-04-27,51,7,83535,3534,28,24,53,是,2017年第一期北京市基础设施投资有限公司公司债券募集说明书_2906127292421775
株洲渌湘投资发展集团有限公司,,2017-04-25,48,11,74009,3135,22,23,47,是,2017年株洲渌湘投资发展集团有限公司公司债券募集说明书_2905105694669425
宜昌伍家新城投资控股集团有限公司,,2017-04-25,47,4,63944,2347,16,20,34,是,2017年宜昌伍家新城投资控股集团有限公司公司债券募集说明书_2904603702415927
长沙经济技术开发集团有限公司,,2017-04-24,66,3,95647,4365,27,34,59,是,2017年第二期长沙经济技术开发集团有限公司公司债券募集说明书_2901815143016271
陕西能源集团有限公司,,2017-04-24,166,7,246802,6739,33,56,89,是,陕西能源集团有限公司2017年面向合格投资者公开发行公司债券募集说明书_2901874152248052
六盘水市交通投资开发有限责任公司,,2017-04-21,44,7,75548,2618,16,21,31,是,2017年六盘水市交通投资开发有限责任公司公司债券募集说明书_2901837467457066
昆明滇池投资有限责任公司,,2017-04-21,47,7,92839,3436,21,24,46,是,2017年昆明滇池投资有限责任公司公司债券募集说明书_2901809661817673
绍兴市柯桥区城建投资开发集团有限公司,,2017-04-20,39,6,66907,3172,22,28,38,是,2016年第二期绍兴市柯桥区城建投资开发集团有限公司公司债券募集说明书_2901000361189254
山东高速集团有限公司,,2017-04-20,147,16,256430,9857,61,82,132,是,山东高速集团有限公司公开发行2017年可交换公司债券募集说明书_2900132800551170
浏阳现代制造产业建设投资开发有 限公司,,2017-04-19,31,6,91280,2826,17,20,39,是,2017年第一期浏阳现代制造产业建设投资开发有限公司绿色债券募集说明书_2900113279410369
武汉市黄陂区城建投资开发有限公司,,2017-04-19,33,2,62644,2575,20,21,40,是,2017年武汉市黄陂区城建投资开发有限公司公司债券募集说明书_2900066976096467
裕丰资产经营管理有限公司,,2017-04-19,47,2,70281,2118,17,15,29,是,2017年宿迁裕丰资产经营管理有限公司公司债券募集说明书_2895018836084165
阳新县城镇建设投资开发有限公司,,2017-04-18,39,8,76611,3287,24,23,51,是,2017年阳新县城镇建设投资开发有限公司公司债券募集说明书_2899095298949567
黄石市众邦城市住房投资有限公司,,2017-04-17,36,4,85737,2552,17,20,36,是,2017年黄石市众邦城市住房投资有限公司公司债券募集说明书_2898345664508510
黔南州国有资本营运有限责任公司,,2017-04-17,54,7,127002,4065,29,33,52,是,2017年第一期黔南州国有资本营运有限责任公司公司债券募集说明书_2895849200604725
醴陵市渌江投资控股集团有限公司,,2017-04-14,48,5,86725,3096,20,22,46,是,2017年醴陵市渌江投资控股集团有限公司公司债券募集说明书_2895865653463571
襄阳市建设投资经营有限公司,,2017-04-14,38,2,84918,2342,18,17,32,是,2017年襄阳市建设投资经营有限公司公司债券募集说明书_2895620923607349
市经济开发总公司,,2017-04-13,74,6,133724,7850,53,55,116,是,2017年宿迁市经济开发总公司企业债券募集说明书_2894880225023763
公司,,2017-04-13,0,0,96413,0,0,0,0,否,2017年三明市国有资产投资经营公司企业债券募集说明书_2893908886593137
北京汽车集团有限公司,,2017-04-12,115,4,175864,10604,52,82,143,是,北京汽车集团有限公司2017年公开发行公司债券募集说明书_2893877585197594
城市蒲阳开发投资有限公司,,2017-04-12,64,5,81377,3343,21,34,41,是,2017年应城市蒲阳开发投资有限公司公司债券募集说明书_2893298479322220
淄博市博山区公有资产经营公司,,2017-04-12,61,4,69670,2985,23,29,38,是,2017年淄博市博山区公有资产经营公司公司债券募集说明书_2893150925362434
邵东新区开发建设投资有限责任公司,,2017-04-11,42,6,74610,5324,38,37,76,是,2017年邵东新区开发建设投资有限责任公司公司债券募集说明书_2892152532765645
新疆新能源（集团）有限责任公司,,2017-04-07,91,11,141805,5843,24,42,67,是,新疆新能源（集团）有限责任公司公开发行2017年公司债券募集说明书_2888960756601288
湖北省高新技术产业投资有限公司,,2017-04-07,70,7,62262,2865,23,23,41,是,2017年湖北省高新技术产业投资有限公司公司债券募集说明书_2888904264875032
湖北中经资本投资发展有限公司,,2017-04-06,233,17,138365,5214,25,43,71,是,湖北中经资本投资发展有限公司公开发行2017年公司债券募集说明书_2888125770509670
蚌埠市城市投资控股有限公司,,2017-04-05,89,7,113132,5598,36,44,73,是,2017年蚌埠市城市投资控股有限公司公司债券募集说明书_2882942060505630
安徽省江南产业集中区建设投资发展（集团）有限公司,,2017-03-30,39,6,59263,3064,20,21,42,是,2016年安徽省江南产业集中区建设投资发展（集团）有限公司公司债券募集说明书_2881918799662629
公司,,2017-03-29,69,8,132906,4208,27,33,62,是,2017年北京首钢房地产开发有限公司停车场专项债券募集说明书_2881081058551939
随州市城市投资集团有限公司,,2017-03-28,54,2,73412,3111,19,24,41,是,2017年第一期随州市城市投资集团有限公司城市停车场建设专项债券募集说明书_2880295304819828
永嘉投资集团有限公司,,2017-03-27,59,1,92296,5391,30,45,63,是,2017年永嘉投资集团有限公司城市停车场建设专项债券募集说明书_2877512650795083
永嘉投资集团有限公司,,2017-03-27,59,1,92296,5391,30,45,63,是,2017年永嘉投资集团有限公司城市停车场建设专项债券募集说明书_2877512650795083
公司,,2017-03-22,92,6,202712,4254,23,34,55,是,骆驼股份公开发行可转换公司债券募集说明书_601311_20170322_4
浏阳经开区开发投资有限公司,,2017-03-22,48,1,74622,2940,21,21,35,是,2016年第一期浏阳经开区开发投资有限公司公司债券募集说明书_2875002584910977
永嘉投资集团有限公司,,2017-03-22,59,1,92305,5391,30,45,63,是,2017年永嘉投资集团有限公司城市停车场建设专项债券募集说明书_2874813736657728
宁市天泰实业有限责任公司,,2017-03-21,41,2,63584,5134,34,42,71,是,2017年遂宁市天泰实业有限责任公司养老产业专项债券募集说明书_2874930626847562
南漳县金财城市建设投资有限公司,,2017-03-20,54,4,79788,4532,30,37,65,是,2017年第二期南漳县金财城市建设投资有限公司公司债券募集说明书_2871825973688358
公司,,2017-03-17,59,5,87352,4719,32,39,69,是,2017年第二期嘉鱼县城镇建设投资有限公司城市停车场建设专项债券募集说明书_2871543699327843
中国北方稀土（集团）高科技股份有限公司,,2017-03-16,95,13,187432,6189,33,44,75,是,北方稀土公开发行2017年公司债券募集说明书（面向合格投资者）（第一期）_600111_20170316_1
宁波开发投资集团有限公司,,2017-03-16,72,6,182873,5284,25,44,72,是,宁波开发投资集团有限公司公开发行2017年公司债券募集说明书（面向合格投资者）_2870796522007329
公司,光大银行,2017-03-15,371,3,187329,17338,91,122,245,是,光大银行公开发行A股可转换公司债券募集说明书_601818_20170315_5
金钰 股票代码公司,东方金钰,2017-03-14,195,17,215722,4544,23,36,56,是,东方金钰公开发行2017年公司债券募集说明书（面向合格投资者）_600086_20170314_1
中国投融资担保股份有限公司,,2017-03-14,364,13,144691,4066,22,32,62,是,1、中国投融资担保股份有限公司公开发行2017年公司债券募集说明书_2868171438477793
东方金钰股份有限公司,东方金钰,2017-03-14,195,17,215722,4544,23,36,56,是,东方金钰股份有限公司2017年面向合格投资者公开发行公司债券募集说明书_2868191478350661
金元证券股份有限公司,,2017-03-13,289,13,114698,4888,32,37,72,是,金元证券股份有限公司2017年面向合格投资者公开发行公司债券募集说明书_2868030660598270
东乡县投资发展有限责任公司,,2017-03-10,41,4,70640,2724,19,19,42,是,2017年东乡县投资发展有限责任公司公司债券募集说明书_2865424229699557
国开证券有限责任公司,,2017-03-10,197,8,119181,6680,41,50,90,是,国开证券有限责任公司2017年公开发行公司债券募集说明书_2864796030628963
公司,东吴证券,2017-03-09,172,7,154903,5028,32,37,61,是,东吴证券公开发行2017年公司债券募集说明书（面向合格投资者）_601555_20170309_1
上海复星医药（集团）股份有限公司,,2017-03-09,98,6,177775,10358,48,78,127,是,复星医药2017年公开发行公司债券募集说明书（面向合格投资者）（第一期）_600196_20170309_1
东吴证券股份有限公司,东吴证券,2017-03-09,172,7,154903,5028,32,37,61,是,东吴证券股份有限公司公开发行2017年公司债券募集说明书（面向合格投资者）_2863724470207309
辽宁能源投资（集团）有限责任公司,,2017-03-08,90,6,181534,5417,29,38,66,是,辽宁能源投资（集团）有限责任公司2017年公开发行公司债券募集说明书_2863151954719224
辽宁能源投资（集团）有限责任公司,,2017-03-08,90,6,181534,5417,29,38,66,是,辽宁能源投资（集团）有限责任公司2017年公开发行公司债券募集说明书_2863147548088801
东旭集团有限公司,,2017-03-08,104,7,166823,7309,38,47,91,是,东旭集团有限公司公开发行2017年公司债券募集说明书_2862992089046042
东旭集团有限公司,,2017-03-08,104,7,166823,7309,38,47,91,是,东旭集团有限公司公开发行2017年公司债券募集说明书_2862989212145326
公司,,2017-03-06,43,4,101548,3911,26,30,51,是,2017年新余市城市建设投资开发公司企业债券募集说明书_2862103795634869
东莞证券股份有限公司,,2017-03-06,220,7,160376,9499,52,65,109,是,东莞证券股份有限公司2017年公开发行公司债券募集说明书（面向合格投资者）_2859611722757772
重庆市綦江区东部新城开发建设有限公司,,2017-03-01,34,4,62867,3544,23,31,48,是,2016年重庆市綦江区东部新城开发建设有限公司公司债券募集说明书_2856884171811935
长沙经济技术开发集团有限公司,,2017-02-28,66,3,92474,4365,27,34,59,是,2017年第一期长沙经济技术开发集团有限公司公司债券募集说明书_2856082446423927
广水市鑫源投资有限公司,,2017-02-28,71,4,87154,4142,24,33,50,是,2017年广水市鑫源投资有限公司公司债券募集说明书_2856821211090016
湖北省宏泰国有资本投资运营集团有限公司,,2017-02-28,187,10,156662,8290,37,67,100,是,湖北省宏泰国有资本投资运营集团有限公司公开发行2017年公司债券募集说明书_2856150183519340
赤峰吉隆黄金矿业股份有限公司,,2017-02-21,128,12,167115,7161,35,52,77,是,赤峰黄金公开发行2017年公司债券募集说明书（面向合格投资者）_600988_20170221_1
昆明滇池投资有限责任公司,,2017-02-17,47,7,92603,3188,19,24,41,是,2017年昆明滇池投资有限责任公司公司债券募集说明书_2846647130482060
公司,,2017-02-15,50,13,82629,4808,24,33,59,是,2016年第二期汝城县城建开发有限责任公司养老产业专项公司债券募集说明书_2845722000836567
蚌埠投资集团有限公司,,2017-02-15,132,7,185109,5139,29,42,61,是,蚌埠投资集团有限公司2017年公开发行公司债券募集说明书（第一期）_2844077908114883
南漳县金财城市建设投资有限公司,,2017-02-14,54,4,79685,4532,30,37,65,是,2017年第一期南漳县金财城市建设投资有限公司公司债券募集说明书_2843939443767093
共青城财政管理投资有限公司,,2017-02-13,56,5,55967,2839,20,25,35,是,2016年共青城财政管理投资有限公司公司债券募集说明书_2841313358845845
肇东市东盛城市建设投资有限责任公司,,2017-02-10,54,5,67294,3110,24,26,43,是,2017年第一期肇东市东盛城市建设投资有限责任公司公司债券募集说明书_2840441911992801
东至县城市经营投资有限公司,,2017-01-25,45,3,79545,4045,27,32,58,是,2016年东至县城市经营投资有限公司债券募集说明书_2826547982892199
淳安县新安江开发总公司,,2017-01-25,65,4,102265,4220,29,28,56,是,2016年淳安县新安江开发总公司养老产业专项债券募集说明书_2826636125092927
陕西黄河矿业（集团）有限责任公司,,2017-01-17,125,5,143563,10396,59,76,120,是,陕西黄河矿业（集团）有限责任公司2017年公司债券募集说明书_2819696837589556
公司,,2017-01-12,59,5,87115,4719,32,39,69,是,2017年第一期嘉鱼县城镇建设投资有限公司城市停车场建设专项债券募集说明书_2816289368251457
中国中材股份有限公司,,2017-01-12,103,8,206406,7559,31,52,81,是,中国中材股份有限公司2017年公开发行公司债券募集说明书_2815441384908830
水城县城市投资开发有限责任公司,,2017-01-10,56,5,67949,3611,23,29,50,是,2016年水城县城市投资开发有限责任公司公司债券募集说明书_2813683877531559
乐平市国有资产经营管理有限公司,,2017-01-10,53,7,81460,4266,31,32,55,是,2016年乐平市国有资产经营管理有限公司公司债券募集说明书_2813552279602300
宁德市交通投资集团有限公司,,2017-01-06,41,4,109012,2374,16,21,32,是,2016年第二期宁德市交通投资集团有限公司公司债券募集说明书_2810218728317068
南昌经济技术开发区投资控股有限公司,,2017-01-04,57,8,65366,5237,30,44,69,是,2016年南昌经济技术开发区投资控股有限公司公司债券募集说明书_2805051582814501
青岛昌阳投资开发有限公司,,2016-12-30,44,4,45644,3478,26,28,46,是,2016年青岛昌阳投资开发有限公司公司债券募集说明书_2802478248819705
北京首都创业集团有限公司,,2016-12-30,133,7,153621,9164,56,62,118,是,2016年第二期北京首都创业集团有限公司可续期公司债券募集说明书_2803316733569105
分宜县城市建设投资开发有限公司,,2016-12-30,62,4,71058,2823,18,28,39,是,2016年分宜县城市建设投资开发有限公司双创孵化专项债券募集说明书_2804211686421388
建湖县城市建设投资有限公司,,2016-12-29,39,7,88089,3488,19,26,46,是,2016年建湖县城市建设投资有限公司项目收益债券募集说明书_2802450083482224
韩城市城市建设投资开发有限责任公司,,2016-12-29,49,11,98836,4226,27,36,53,是,2016年韩城市城市建设投资开发有限责任公司公司债券募集说明书_2802455488136836
东县新天地投资发展有限公司,,2016-12-29,43,8,76835,2767,18,22,37,是,2016年如东县新天地投资发展有限公司项目收益债券募集说明书_2802475998058049
衡东县城市建设投资开发有限公司,,2016-12-28,44,2,76923,3485,26,25,40,是,2016年衡东县城市建设投资开发有限公司综合养老产业和城市停车场建设专项债券募集说明书_2802608969470828
公司,,2016-12-27,80,18,105457,2986,17,27,37,是,2016年荆门市城市建设投资公司漳河新区北片区综合管廊工程项目收益债券募集说明书_2797226474810517
东县金鑫交通工程建设投资有限公司,,2016-12-23,47,8,70355,4901,29,33,76,是,2016年如东县金鑫交通工程建设投资有限公司公司债券募集说明书_2798131048706131
东县金鑫交通工程建设投资有限公司,,2016-12-23,47,8,70355,4901,29,33,76,是,2016年如东县金鑫交通工程建设投资有限公司公司债券募集说明书_2798131581796373
滨州市沾化区宏达投资经营有限公司,,2016-12-23,53,7,78391,3373,29,30,47,是,2016年滨州市沾化区宏达投资经营有限公司公司债券募集说明书_2797262493204654
兴安盟城市发展投资经营有限责任公司,,2016-12-23,48,4,66082,3093,20,25,39,是,2015年兴安盟城市发展投资经营有限责任公司公司债券募集说明书_2796410992341585
江市城市投资集团有限公司,,2016-12-21,44,4,90240,4996,28,39,64,是,2016年第一期牡丹江市城市投资集团有限公司公司债券募集说明书_2795589765985916
江市城市投资集团有限公司,,2016-12-21,44,4,90557,4996,29,38,64,是,2016年第二期牡丹江市城市投资集团有限公司公司债券募集说明书_2795595033701142
达州市投资有限公司,,2016-12-20,53,3,107541,3069,24,24,42,是,2016年第一期达州市投资有限公司公司债券募集说明书_2793034230496990
浙江玉环城市建设集团有限公司,,2016-12-20,57,3,76477,3901,34,30,56,是,2016年第二期浙江玉环城市建设集团有限公司公司债券募集说明书_2795558245094504
临沂市城市资产经营开发有限公司,,2016-12-20,48,7,55897,3226,27,26,44,是,2016年临沂市城市资产经营开发有限公司公司债券募集说明书_2792954276683090
鹤山市公营资产经营有限公司,,2016-12-16,81,10,163380,5317,32,37,58,是,2016年第二期鹤山市公营资产经营有限公司公司债券募集说明书_2791322130124548
三明市国有资产投资经营公司,,2016-12-14,50,12,101563,3739,25,35,46,是,2016年三明市国有资产投资经营公司企业债券募集说明书_2789384544013159
扬州新盛投资发展有限公司,,2016-12-14,74,8,136165,5036,24,37,69,是,扬州新盛投资发展有限公司2016年面向合格投资者公开发行公司债券募集说明书_2791069904902457
宁波开发投资集团有限公司,,2016-12-14,73,6,184642,5318,25,44,72,是,宁波开发投资集团有限公司公开发行2016年公司债券募集说明书（面向合格投资者）_2790429336820453
库尔勒城市建设（集团）有限公司,,2016-12-14,93,12,74201,3820,27,31,52,是,2016年库尔勒城市建设（集团）有限责任公司小微企业增信集合债券募集说明书_2789570577800518
公司,,2016-12-09,46,6,83599,6497,38,51,83,是,2016年湖南邵东生态产业园开发建设投资有限责任公司城市地下综合管廊建设和城市停车场建设专项债券募集说明书_2786760442858368
长沙金洲新城开发建设投资有限公司,,2016-12-09,43,8,65339,3913,24,32,52,是,2016年长沙金洲新城开发建设投资有限公司双创孵化专项债券募集说明书_2786762629887516
合盛硅业股份有限公司,,2016-12-09,119,11,187446,10786,50,79,146,是,合盛硅业股份有限公司公开发行2016年第一期公司债券募集说明书_2785908863920516
公司,,2016-12-09,51,3,59323,2394,16,23,34,是,2016年新干县城乡建设投资开发有限责任公司城市地下综合管廊建设专项债券募集说明书_2786028355284301
江苏高淳经济开发区开发总公司,,2016-12-09,76,5,102618,5663,40,44,84,是,2016年第二期江苏高淳经济开发区开发总公司企业债券募集说明书_2786016268685382
湖南城陵矶临港新区开发投资有限公司,,2016-12-08,33,5,70669,2237,17,17,32,是,2016年第二期湖南城陵矶临港新区开发投资有限公司公司债券募集说明书_2785028506815352
京山县京诚投资开发有限公司,,2016-12-07,68,7,65230,3555,21,33,47,是,2016年京山县京诚投资开发有限公司公司债券募集说明书_2784297813467672
遵义市红花岗城市建设投资经营有限公司,,2016-12-06,58,8,58484,5273,33,40,64,是,2016年遵义市红花岗城市建设投资经营有限公司公司债券募集说明书_2783458386141781
合肥兴泰金融控股（集团）有限公司,,2016-12-05,112,9,84880,3525,29,30,42,是,2016年第二期合肥兴泰金融控股（集团）有限公司小微企业扶持债券募集说明书_2780945597927475
华晨电力股份公司,,2016-12-05,83,4,122004,5198,33,42,64,是,华晨电力股份公司2016年公司债券募集说明书_2780881116119832
公司,,2016-12-01,0,0,61676,0,0,0,0,否,2016年第二期毕节市德溪建设开发投资有限公司城市地下综合管廊建设专项债券募集说明书_2779235455958063
中国广核集团有限公司,,2016-12-01,109,5,184705,6147,37,42,80,是,中国广核集团有限公司2016年面向合格投资者公开发行公司债券募集说明书（第一期）_2779186387291965
投资（集团）有限公司,,2016-11-30,113,7,152253,10235,60,76,128,是,2016年第二期贵阳市城市建设投资（集团）有限公司城市停车场建设专项债券募集说明书_2778285401784060
山东省经济开发投资公司,,2016-11-29,55,4,54270,2264,16,16,32,是,2016年山东省经济开发投资公司企业债券募集说明书_2774846017288795
遂宁市富源实业有限公司,,2016-11-28,32,4,77955,3385,26,26,49,是,2016年遂宁市富源实业有限公司公司债券募集说明书_2774910623069953
安顺市西秀区城镇投资发展有限公司,,2016-11-28,63,4,76988,3570,29,29,50,是,2016年安顺市西秀区城镇投资发展有限公司公司债券募集说明书_2774792487147469
南京江宁城市建设集团有限公司,,2016-11-28,44,4,89760,2934,19,25,39,是,2016年南京江宁城市建设集团有限公司公司债券募集说明书_2774729634652511
荆门市东宝区城乡建设投资有限公司,,2016-11-28,76,8,67929,4141,25,35,54,是,2016年荆门市东宝区城乡建设投资有限公司公司债券募集说明书_2774787786367360
德清县建设投资有限公司,,2016-11-25,73,6,72728,3666,25,27,52,是,2016年德清县建设投资有限公司公司债券募集说明书_2774680576064086
公司,,2016-11-25,0,0,110658,0,0,0,0,否,2016年河北中岳城市建设投资有限公司棚户区改造工程项目收益债券募集说明书_2773976343994233
常州钟楼经济开发区投资建设有限公司,,2016-11-25,45,5,63879,2772,20,23,43,是,2016年常州钟楼经济开发区投资建设有限公司公司债券募集说明书_2773929691715458
成都市锦都工业建设投资有限公司,,2016-11-25,67,7,73651,3575,28,28,47,是,2016年成都市锦都工业建设投资有限公司公司债券募集说明书_2773928247248115
娄底市万宝新区开发投资有限公司,,2016-11-25,34,2,59240,3868,25,28,49,是,2016年第一期娄底市万宝新区开发投资有限公司公司债券募集说明书_2773054097359475
七台河市城市建设投资发展有限公司,,2016-11-24,50,5,65171,3585,23,24,49,是,2016年七台河市城市建设投资发展有限公司公司债券募集说明书_2773836452314443
温州市铁路与轨道交通投资集团有限公司,,2016-11-24,60,4,90055,3816,26,32,51,是,2016年温州市铁路与轨道交通投资集团有限公司城市停车场建设专项债券募集说明书;_2772201340981594
溧水经济技术开发总公司,,2016-11-23,77,3,88157,6438,44,51,85,是,2016年溧水经济技术开发总公司企业债券募集说明书_2772214514517670
温州市瓯海新城建设开发有限公司,,2016-11-22,79,4,80185,3547,27,28,45,是,2016年温州市瓯海新城建设开发有限公司城市停车场建设专项债券募集说明书_2768772349430021
中国华能集团公司,,2016-11-22,113,5,129691,8632,41,69,121,是,中国华能集团公司公开发行2016年公司债券募集说明书_2771384649644778
山东省再担保集团股份有限公司,,2016-11-22,422,20,177244,6594,31,48,86,是,山东省再担保集团股份有限公司2016年公开发行公司债券募集说明书_2771395001088636
马鞍山慈湖高新技术产业开发区投资发展有限公司,,2016-11-21,49,7,68943,3241,26,28,43,是,2016年马鞍山慈湖高新技术产业开发区投资发展有限公司公司债券募集说明书_2771265693763391
安顺市西秀区城镇投资发展有限公司,,2016-11-18,63,4,76988,3570,29,29,50,是,2016年安顺市西秀区城镇投资发展有限公司公司债券募集说明书_2768809069708796
恒力集团有限公司,,2016-11-17,154,12,168735,7941,41,66,108,是,恒力集团有限公司公开发行2016年第一期公司债券募集说明书（以此为准）_2767781664387022
重庆新梁投资开发（集团）有限公司,,2016-11-17,64,4,82870,4729,35,37,71,是,2016年重庆新梁投资开发（集团）有限公司公司债券募集说明书_2766329337311786
广州港集团有限公司,,2016-11-16,53,5,96159,4275,28,34,61,是,2016年第三期广州港集团有限公司城市停车场建设专项债券募集说明书_2767135871506883
贵阳金阳建设投资（集团）有限 公司,,2016-11-16,64,6,107402,3667,28,30,48,是,2016年第一期贵阳金阳建设投资（集团）有限公司城市停车场专项债券募集说明书_2766050043617170
公司,,2016-11-16,0,0,61797,0,0,0,0,否,2016年第一期毕节市德溪建设开发投资有限公司城市地下综合管廊建设专项债券募集说明书_2766932252507409
北京市基础设施投资有限公司,,2016-11-16,51,7,83205,3534,28,24,53,是,2016年第一期北京市基础设施投资有限公司公司债券募集说明书_2766216858041137
水城县城市投资开发有限责任公司,,2016-11-15,56,5,67949,3611,23,29,50,是,2016年水城县城市投资开发有限责任公司公司债券募集说明书_2765418345354581
重庆市金潼工业建设投资有限公司,,2016-11-15,51,1,73344,2799,22,23,35,是,2016年第一期重庆市金潼工业建设投资有限公司公司债券募集说明书_2765995682555826
公司,,2016-11-15,59,2,79947,2928,20,26,41,是,2016年广西柳州汽车城-文化旅游科技体验园项目收益债券募集说明书_2765371694648964
海安开发区建设投资有限公司,,2016-11-14,43,6,104426,3069,17,21,31,是,2016年海安开发区建设投资有限公司双创孵化专项债券募集说明书_2765194204541575
株洲市湘江风光带建设开发有限公司,,2016-11-14,47,5,69990,3118,20,25,40,是,2015年株洲市湘江风光带建设开发有限公司公司债券募集说明书_2765171063061718
昌吉城市建设投资发展有限责任公司,,2016-11-14,53,3,81887,3007,20,25,41,是,2016年昌吉城市建设投资发展有限责任公司公司债券募集说明书_2765208719297828
江苏大行临港产业投资有限公司,,2016-11-14,58,2,84247,4137,21,33,50,是,2016年江苏大行临港产业投资有限公司双创孵化专项债券募集说明书_2762721254687518
xiahb公司,,2016-11-11,0,0,0,0,0,0,0,否,关于《2014年海安县开发区经济技术开发总公司企业债券募集说明书》有关事项的说明_2762566117351895
xiahb公司,,2016-11-11,0,0,0,0,0,0,0,否,关于《2014年海安县开发区经济技术开发总公司企业债券募集说明书》有关事项的说明_2762566384732107
天门市城市建设投资有限公司,,2016-11-11,34,1,64145,2738,19,22,36,是,2016天门市城市建设投资有限公司公司债券募集说明书_2761735136917134
柳州东城投资开发有限公司,,2016-11-11,113,15,79051,5265,33,36,65,是,2016年柳州东城投资开发有限公司小微企业增信集合债券募集说明书_2761812478656468
南京紫金资产管理有限公司,,2016-11-10,89,16,128325,4121,25,33,50,是,南京紫金资产管理有限公司2016年公开发行公司债券募集说明书_2760889328516639
广东省广晟资产经营有限公司,,2016-11-09,71,5,115567,5528,38,44,82,是,2016年第三期广东省广晟资产经营有限公司公司债券募集说明书_2759363320556223
国家电网公司,,2016-11-09,99,5,123812,3789,20,27,57,是,国家电网公司公开发行2016年第一期公司债券募集说明书_2759253272736852
国家电网公司,,2016-11-09,99,5,123812,3789,20,27,57,是,国家电网公司公开发行2016年第一期公司债券募集说明书_2759247913034374
中安消股份有限公司,,2016-11-08,117,11,208872,6667,39,52,80,是,中安消2016年公开发行公司债券募集说明书（面向合格投资者）_600654_20161108_1
金沙县建设投资集团有限公司,,2016-11-08,79,6,90302,3432,30,29,49,是,2016年金沙县建设投资集团有限公司公司债券募集说明书_2756647033279423
中安消股份有限公司,,2016-11-08,117,11,208872,6667,39,52,80,是,中安消股份有限公司2016年公开发行公司债券募集说明书_2759190270099245
Administrator Typewriter 公司,,2016-11-07,127,11,65942,5139,38,36,60,是,2016年泉州市城建国有资产投资有限公司小微企业增信集合债券募集说明书_2755026079392613
徐州高新技术产业开发区国有资产经营有限公司,,2016-11-07,52,1,78748,3642,22,28,45,是,2016年徐州高新技术产业开发区国有资产经营有限公司公司债券募集说明书_2756520131968314
恒力集团有限公司,,2016-11-04,154,12,168618,7941,41,66,108,是,恒力集团有限公司公开发行2016年第一期公司债券募集说明书_2755885120346758
威海市临港国有资产经营管理有限公司,,2016-11-04,108,6,58051,4785,30,34,63,是,2016年威海市临港国有资产经营管理有限公司小微企业增信集合债券募集说明书_2754950556542771
汝州市鑫源投资有限公司,,2016-11-04,50,3,101582,3342,25,28,39,是,2016年汝州市鑫源投资有限公司公司债券募集说明书_2754918218453823
无锡锡东新城建设发展有限公司,,2016-11-03,49,5,64417,3360,21,25,46,是,2016年无锡锡东新城建设发展有限公司公司债券募集说明书_2754753743820403
四川简州城投有限公司,,2016-11-02,30,5,75284,1821,12,14,25,是,2016年四川简州城投有限公司公司债券募集说明书_2754259350801708
大连融强投资有限公司,,2016-11-01,116,8,144531,5346,27,36,66,是,大连融强投资有限公司公开发行2016年公司债券募集说明书（面向合格投资者)_2753221117326130
山东博润实业有限公司,,2016-10-31,77,0,106437,3143,20,23,42,是,山东博润实业有限公司非公开发行2016年公司债券募集说明书_2750707503297794
广西金融投资集团有限公司,,2016-10-27,113,6,72162,3742,26,26,55,是,2016年广西金融投资集团有限公司公司债券募集说明书_2749743599596389
广西金融投资集团有限公司,,2016-10-27,113,6,72162,3742,26,26,55,是,2016年广西金融投资集团有限公司公司债券募集说明书_2749737492894336
黔东南州凯宏资产运营有限责任公司,,2016-10-27,83,6,108576,4956,29,37,72,是,2016年黔东南州凯宏资产运营有限责任公司养老产业专项债券募集说明书_2747866159738272
