公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
贵州水城经济开发区高科开发投资有限公司,,2018-11-01,80,2,103169,3516,40,2018年贵州水城经济开发区高科开发投资有限公司公司债券募集说明书_3383734876574381
红狮控股集团有限公司,,2018-10-29,122,6,213072,5576,61,红狮控股集团有限公司公开发行2018年扶贫专项公司债券募集说明书_3382175732096720
赣州市章贡区建设投资集团有限公司,,2018-10-29,100,16,235534,4953,50,2018年赣州市章贡区建设投资集团有限公司公司债券募集说明书_3378781838638678
江南新城建设投资开发有限公司,,2018-10-29,114,14,166318,4440,54,2018年第一期常德市鼎城江南新城建设投资开发有限公司公司债券募集说明书_3379638204432168
广西东投集团有限公司,,2018-10-23,96,6,147384,3774,42,2018年第一期广西东投集团有限公司公司债券募集说明书_3376035288690441
安吉县城市建设投资集团有限公司,,2018-10-17,134,18,218078,4974,69,2018年第二期安吉县城市建设投资集团有限公司海绵城市绿色债券募集说明书_3370961145129559
华晨汽车集团控股有限公司,,2018-10-15,226,22,279962,8856,113,2018年第一期华晨汽车集团控股有限公司公司债券募集说明书_3365814238124964
华晨汽车集团控股有限公司,,2018-10-15,226,22,279962,8856,113,2018年第一期华晨汽车集团控股有限公司公司债券募集说明书_3365818562458902
赣州市南康区城市建设发展集团有限公司,,2018-10-12,90,8,136678,3864,48,2018年第一期赣州市南康区城市建设发展集团有限公司双创孵化专项债券募集说明书_3365891864548882
孟州市投资开发有限公司,,2018-10-12,170,20,204032,5964,68,2018年第一期孟州市投资开发有限公司公司债券募集说明书_3366642269989378
酉阳县桃花源旅游投资（集团）有限公司,,2018-10-11,104,8,206454,3798,41,2018年酉阳县桃花源旅游投资（集团）有限公司公司债券募集说明书_3364945134788462
蓬莱国有资产投资集团有限公司,,2018-10-11,174,18,233294,7128,81,2018年第一期舟山群岛新区蓬莱国有资产投资集团有限公司公司债券募集说明书_3364922724360612
湖南天易融通创业投资有限公司,,2018-09-28,86,16,176604,4236,45,2018年第一期湖南天易融通创业投资有限公司公司债券募集说明书_3354386287566062
海门南黄海建设发展有限公司,,2018-09-26,112,4,153312,4677,49,2018年海门南黄海建设发展有限公司公司债券募集说明书_3352805727291579
桃源县经济开发区开发投资有限公司,,2018-09-25,78,8,160362,3137,36,2018年第一期桃源县经济开发区开发投资有限公司公司债券募集说明书_3348528372101863
当涂县城乡建设投资有限责任公司,,2018-09-25,146,8,193306,5077,62,2018年当涂县城乡建设投资有限责任公司公司债券募集说明书_3348522338514687
江苏天目湖（集团）有限公司,,2018-09-21,136,12,212194,5776,65,江苏天目湖（集团）有限公司2018年公开发行公司债券募集说明书_3348535177487971
安宁发展投资集团有限公司,,2018-09-21,98,10,179842,6149,54,2018年第一期安宁发展投资集团有限公司城市地下综合管廊建设专项债券募集说明书_3348510052805853
海宁市尖山新区开发有限公司,,2018-09-19,150,6,203646,7177,82,2018年第一期海宁市尖山新区开发有限公司公司债券募集说明书_3346781940497538
大众公司,,2018-09-17,0,0,0,0,0,大众公用关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_600635_20180917_1
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533560471926
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533914452287
上海大众公用事业（集团）股份有限公司,,2018-09-17,0,0,0,0,0,关于上海大众公用事业（集团）股份有限公司《2018年公开发行公司债券募集说明书》的补充说明_3342533723522102
上饶县城市建设投资开发有限公司,,2018-09-13,146,18,195756,5574,58,2018年上饶县城市建设投资开发有限公司公司债券募集说明书_3341569238667412
