公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
扬州市广陵新城投资发展有限公司,,2016-10-26,128,10,158004,5592,50,2016年扬州市广陵新城投资发展有限公司公司债券募集说明书_2746998972174317
江苏凤凰出版传媒集团有限公司,,2016-10-26,198,22,339396,9781,102,江苏凤凰出版传媒集团有限公司公开发行2016年可交换公司债券募集说明书（面向合格投资者）_2748017803986207
武汉地铁集团有限公司,,2016-10-26,148,14,195038,6050,70,2016年第一期武汉地铁集团有限公司可续期公司债券募集说明书_2747472203508686
公司,,2016-10-25,51,5,87747,1998,22,2016年第二期宁乡县国有资产经营有限公司棚户区改造项目收益债券募集说明书_2747911178092448
湘潭九华经济建设投资有限公司,,2016-10-25,120,30,195070,5021,65,2016年湘潭九华经济建设投资有限公司双创孵化专项债券募集说明书_2747080117488989
华泰汽车集团有限公司,,2016-10-24,146,4,695352,0,0,华泰汽车集团有限公司公开发行2016年公司债券募集说明书（第三期）（面向合格投资者）_2744698111317216
恩施城市建设投资有限公司,,2016-10-24,61,8,101504,2181,27,2016年恩施城市建设投资有限公司公司债券募集说明书_2747012409309777
芜湖市交通投资有限公司,,2016-10-21,202,6,191576,8217,86,2016年第二期芜湖市交通投资有限公司城市停车场建设专项债券募集说明书_2743717178384629
瑞金市城市发展投资集团有限公司,,2016-10-21,100,6,160040,3241,40,2016年瑞金市城市发展投资集团有限公司公司债券募集说明书_2743730545728278
萧县建设投资有限责任公司,,2016-10-21,61,1,67749,1870,22,2016年萧县建设投资有限责任公司公司债券募集说明书_2743573332466013
公司,,2016-10-20,90,4,165650,4800,46,东方航空2016年公开发行公司债券募集说明书（面向合格投资者）（第一期）_600115_20161020_1
潍坊滨海旅游集团有限公司,,2016-10-20,94,10,181570,3093,38,2016年潍坊滨海旅游集团有限公司公司债券募集说明书_2742097148603139
韶关市新鸿达城市投资经营有限公司,,2016-10-19,82,10,135780,3416,40,2016年韶关市新鸿达城市投资经营有限公司公司债券募集说明书_2742736121329168
江苏天目湖（集团）有限公司,,2016-10-19,138,12,219244,6088,66,江苏天目湖（集团）有限公司2016年公开发行公司债券募集说明书_2742094051173684
南宁新技术产业建设公司,,2016-10-19,128,14,182358,6205,46,2016年第二期南宁新技术产业建设开发总公司企业债券募集说明书_2742100073934167
无锡市太湖新城发展集团有限公司,,2016-10-19,146,8,213704,6516,65,2016年第二期无锡市太湖新城发展集团有限公司公司债券募集说明书_2741956355011200
镇江新区城市建设投资有限公司,,2016-10-19,138,12,222356,4660,52,镇江新区城市建设投资有限公司2016年城市停车场建设专项债券募集说明书_2741919295334326
嘉兴市湘家荡发展投资集团有限公司,,2016-10-19,42,6,68214,1946,22,2016年第二期嘉兴市湘家荡发展投资集团有限公司公司债券募集说明书_2741961850609069
海航集团有限公司,,2016-10-19,194,6,229212,7612,90,2016年第二期海航集团有限公司可续期公司债券募集说明书_2741883351126862
济宁市市中区城建投资有限公司,,2016-10-19,122,6,138182,5222,56,2016年济宁市市中区城建投资有限公司地下综合管廊专项债券募集说明书_2741943011125509
广饶县经济发展投资有限公司,,2016-10-19,67,3,96590,1856,24,2016年广饶县经济发展投资有限公司公司债券募集说明书_2741021518754785
湖北省鄂西生态文化旅游圈投资有限公司,,2016-10-19,0,0,58824,0,0,2016年湖北省鄂西生态文化旅游圈投资有限公司公司债券募集说明书_2741087214390283
宁德市交通投资集团有限公司,,2016-10-19,82,8,217094,3316,41,2016年第一期宁德市交通投资集团有限公司公司债券募集说明书_2738384267764842
宁夏建材集团股份有限公司,,2016-10-18,170,18,290678,7849,92,宁夏建材2016年公开发行公司债券募集说明书（面向合格投资者）_600449_20161018_1
宁夏建材集团股份有限公司,,2016-10-18,170,18,290678,7849,92,宁夏建材集团股份有限公司2016年公开发行公司债券募集说明书_2741249250652783
江苏省海外企业集团有限公司,,2016-10-18,342,22,362496,15813,164,江苏省海外企业集团有限公司2016年面向合格投资者公开发行公司债券募集说明书_2737778663038860
江苏瀛洲发展集团有限公司,,2016-10-18,100,8,140968,4150,45,2016年江苏瀛洲发展集团有限公司公司债券募集说明书_2741097051699409
四川龙阳天府新区建设投资有限公司,,2016-10-14,118,12,134776,3540,48,2016年四川龙阳天府新区建设投资有限公司公司债券募集说明书_2736029133842731
金湖县国有资产经营投资有限责任公司,,2016-10-14,126,18,172066,4669,45,2016年金湖县国有资产经营投资有限责任公司公司债券募集说明书_2723759719237051
发行人董事会声明 发行人董事会公司,,2016-10-13,80,12,105256,2641,32,2016年大洼县临港生态新城投资建设发展有限公司养老产业专项债券募集说明书_2737543746476555
蕲春县国建投资有限公司,,2016-10-13,56,3,76585,2332,26,2016年蕲春县国建投资有限公司公司债券募集说明书_2737677431361014
新区经济技术发展有限公司,,2016-10-13,70,6,153998,2405,34,2016年第二期马鞍山南部承接产业转移新区经济技术发展有限公司公司债券募集说明书_2737538746157490
建设投资开发集团有限公司,,2016-10-12,116,6,156608,4105,49,2015年第二期长沙天心城市建设投资开发集团有限公司公司债券募集说明书_2735895113904476
大冶市城市建设投资开发有限公司,,2016-10-10,148,10,182334,5646,69,2016年第二期大冶市城市建设投资开发有限公司公司债券募集说明书_2725622123290145
贵州省凯里城镇建设投资有限公司,,2016-09-30,74,6,152840,3058,36,2016年贵州省凯里城镇建设投资有限公司城市停车场建设专项债券募集说明书_2726343339991112
市城东新城建设有限公司,,2016-09-30,168,20,171778,7290,80,2016年诸暨市城东新城建设有限公司公司债券募集说明书_2724892779150741
博天环境集团股份有限公司,,2016-09-30,97,7,198727,4846,50,博天环境集团股份有限公司2016年公开发行绿色公司债券募集说明书_2725604669801969
福城市建设投资有限公司,,2016-09-29,122,10,113936,4578,57,2016年第二期长沙开福城市建设投资有限公司公司债券募集说明书_2722998845055439
祥源控股集团有限责任公司,,2016-09-27,192,22,317008,8845,90,祥源控股集团有限责任公司公开发行2016年公司债券募集说明书（面向合格投资者）_2723071797884458
重庆机电股份有限公司,机电股份,2016-09-27,248,22,395700,10514,110,重庆机电股份有限公司公开发行2016年公司债券募集说明书（面向合格投资者）_2723107251434330
凤城市现代产业园区开发建设投资有限公司,,2016-09-26,122,14,143746,5112,52,2015年凤城市现代产业园区开发建设投资有限公司公司债券募集说明书_2719607770397243
中国通用技术（集团）控股有限责任公司,,2016-09-23,348,18,427500,16749,157,中国通用技术（集团）控股有限责任公司2016年公开发行公司债券募集说明书（第一期）_2719568556899602
中国通用技术（集团）控股有限责任公司,,2016-09-23,348,18,427500,16749,157,中国通用技术（集团）控股有限责任公司2016年公开发行公司债券募集说明书（第一期）_2719566188428919
浙江康恩贝制药股份有限公司,,2016-09-22,150,12,362526,6850,77,康恩贝2016年面向合格投资者公开发行公司债券募集说明书_600572_20160922_1
保利协鑫（苏州）新能源有限公司,,2016-09-22,164,8,265060,8834,86,保利协鑫（苏州）新能源有限公司公开发行2016年公司债券募集说明书_2718766309714513
株洲高科集团有限公司,,2016-09-22,146,28,281682,5898,76,2016年株洲高科集团有限公司双创孵化专项债券募集说明书_2718699153877446
鸿商产业控股集团有限公司,,2016-09-22,174,24,204564,7662,88,鸿商产业控股集团有限公司公开发行2016年公司债券募集说明书（面向合格投资者）（第二期）_2718578946542658
浙江康恩贝制药股份有限公司,,2016-09-22,150,12,362526,6850,77,浙江康恩贝制药股份有限公司2016年面向合格投资者公开发行公司债券募集说明书_2718696274639111
浙商证券股份有限公司,,2016-09-21,364,18,322634,14744,133,1 浙商证券股份有限公司2016年公开发行公司债券募集说明书_2717907525090674
山东公用控股有限公司,,2016-09-20,166,8,273246,8454,88,山东公用控股有限公司2016年公开发行公司债券募集说明书_2717630498573475
江苏高淳经济开发区开发总公司,,2016-09-19,150,12,204930,6365,72,2016年第一期江苏高淳经济开发区开发总公司企业债券募集说明书_2712764941014181
荆门高新技术产业开发有限责任公司,,2016-09-19,94,8,153564,3734,40,2016年荆门高新技术产业开发有限责任公司双创孵化专项债券募集说明书_2707312368575983
重庆市合川城市建设投资（集团）有 限公司,,2016-09-14,70,8,222842,3077,36,2016年重庆市合川城市建设投资（集团）有限公司城市停车场建设专项债券募集说明书_2712643826509219
公司,,2016-09-14,128,14,149694,5597,57,2016年荆州开发区城市建设投资开发有限公司双创孵化专项债券募集说明书_2711798622442808
江苏瀛洲发展集团有限公司,,2016-09-13,100,8,140944,4150,45,2016年江苏瀛洲发展集团有限公司公司债券募集说明书_2710798136450908
台州市椒江区国有资产经营有限公司,,2016-09-12,204,10,337076,9632,105,台州市椒江区国有资产经营有限公司2016年公开发行公司债券募集说明书_2710862522891652
合江县阜阳国有资产经营投资（集团）有限公司,,2016-09-12,112,10,138066,5177,58,2016年合江县阜阳国有资产经营投资（集团）有限公司公司债券募集说明书_2708190457080672
浙江玉环城市建设集团有限公司,,2016-09-12,112,6,149856,4278,44,2016年第一期浙江玉环城市建设集团有限公司公司债券募集说明书_2707736196313675
章丘市国有资产运营有限公司,,2016-09-12,56,2,63343,1820,20,2016年章丘市国有资产运营有限公司公司债券募集说明书_2708176764128632
绍兴市柯桥区城建投资开发集团有限公司,,2016-09-09,80,12,133258,3858,38,2016年第一期绍兴市柯桥区城建投资开发集团有限公司公司债券募集说明书_2708110609959235
中国宜兴环保科技工业园发展总公司,,2016-09-09,46,5,62992,1718,20,2016年中国宜兴环保科技工业园发展总公司企业债券募集说明书_2707441358701078
铜陵大江投资控股有限公司,,2016-09-09,142,10,138038,5344,56,2016年铜陵大江投资控股有限公司小微企业增信集合债券募集说明书_2707306751825650
文山城市建设投资（集团）有限公司,,2016-09-09,110,10,167338,4236,54,2016年文山城市建设投资（集团）有限公司公司债券募集说明书_2707312156325715
广州港集团有限公司,,2016-09-08,106,10,200746,4290,50,2016年第二期广州港集团有限公司城市停车场建设专项债券募集说明书_2707410825788736
安吉县城西北开发有限公司,,2016-09-08,98,8,141370,4398,46,2016年安吉县城西北开发有限公司城市地下综合管廊建设专项债券募集说明书_2705681124235453
淮北市建投控股集团有限公司,,2016-09-07,200,8,168826,5957,62,2016年淮北市建投控股集团有限公司小微企业増信集合债券募集说明书_2705538226368589
桐城市建设投资发展有限责任公司,,2016-09-07,66,4,109136,2278,30,2015年桐城市建设投资发展有限责任公司公司债券募集说明书_2705186888403022
贵阳白云城市建设投资有限公司,,2016-09-06,106,14,172770,5085,56,2016年贵阳白云城市建设投资有限公司白云区地下综合管廊项目专项债券募集说明书_2704890380905478
黔东南州开发投资有限责任公司,,2016-09-05,36,3,95316,1516,18,2016年黔东南州开发投资有限责任公司公司债券募集说明书_2704722937783493
合肥兴泰金融控股（集团）有限公司,,2016-09-02,224,18,168730,7546,77,2016年第一期合肥兴泰金融控股（集团）有限公司小微企业扶持债券募集说明书_2701521623917747
济宁市城建投资有限责任公司,,2016-09-02,62,8,199660,2789,32,2016年济宁市城建投资有限责任公司停车场建设项目专项债券募集说明书_2701702621497897
建安投资控股集团有限公司,,2016-09-02,100,6,205918,4898,48,2016年建安投资控股集团有限公司公司债券募集说明书_2701484135106502
建安投资控股集团有限公司,,2016-09-02,100,6,205918,4898,48,2016年建安投资控股集团有限公司公司债券募集说明书_2701478456154754
南昌城市建设投资发展有限公司,,2016-09-02,114,6,214444,5005,49,2016年南昌城市建设投资发展有限公司管廊专项债券募集说明书_2702088138818023
泰山玻璃纤维有限公司,,2016-09-02,150,14,262214,6944,74,泰山玻璃纤维有限公司公开发行2016年公司债券募集说明书_2701447105459802
娄底市万宝新区开发投资有限公司,,2016-09-02,74,6,127492,2934,37,2016年第二期娄底市万宝新区开发投资有限公司公司债券募集说明书_2701257033331781
湘乡市经济开发区建设投资开发有限公司,,2016-09-01,90,14,127766,4644,49,2016年湘乡市经济开发区建设投资开发有限公司双创孵化专项债券募集说明书_2701265780452930
鸿商产业控股集团有限公司,,2016-09-01,174,24,204401,7650,88,鸿商产业控股集团有限公司公开发行2016年公司债券募集说明书（面向合格投资者）（第一期）_2700536646450249
厦门海沧投资集团有限公司,,2016-09-01,240,18,359686,12200,130,厦门海沧投资集团有限公司2016年面向合格投资者公开发行公司债券募集说明书_2699581779047929
赣州市南康区城市建设发展有限责任公司,,2016-08-30,188,26,145638,9300,76,2016年赣州市南康区城市建设发展有限责任公司小微企业增信集合债券募集说明书_2698725186305399
湖南环保科技产业园开发建设投资有限责任公司,,2016-08-29,86,10,149350,3520,46,2016年湖南环保科技产业园开发建设投资有限责任公司公司债券募集说明书_2698616326004151
宜章县兴宜建设投资有限责任公司,,2016-08-25,84,10,148830,4394,45,2016年宜章县兴宜建设投资有限责任公司养老产业专项债券募集说明书_2694584962872092
晋江市城市建设投资开发有限责任公司,,2016-08-25,36,0,64170,1449,13,2016年晋江市城市建设投资开发有限责任公司公司债券募集说明书_2692577559337669
中国中车股份有限公司,,2016-08-25,238,22,322308,9608,122,中国中车股份有限公司2016年公司债券募集说明书（第一期）_2694467392699094
芜湖市交通投资有限公司,,2016-08-25,204,6,198808,8453,88,2016年第一期芜湖市交通投资有限公司城市停车场建设专项债券募集说明书_2693592047750081
山东万通石油化工集团有限公司,,2016-08-23,212,6,339638,8240,98,山东万通石油化工集团有限公司公开发行2016年公司债券募集说明书_2692603842840041
江苏金坛国发国际投资发展有限公司,,2016-08-22,108,8,206316,4713,56,2016年江苏金坛国发国际投资发展有限公司双创孵化专项债券募集说明书_2690329603742067
秦皇岛开发区国有资产经营有限公司,,2016-08-22,98,6,112884,5749,46,2016年秦皇岛开发区国有资产经营有限公司公司债券募集说明书_2692592202344294
公安县城建投资有限公司,,2016-08-22,106,8,176704,3681,45,2016年公安县城建投资有限公司公司债券募集说明书_2692593374826934
市开发建设投资有限公司,,2016-08-22,98,6,205702,5972,42,2016年第一期营口经济技术开发区城市开发建设投资有限公司公司债券募集说明书_2689318058284024
湖南友谊阿波罗控股股份有限公司,,2016-08-19,132,10,154578,5630,62,湖南友谊阿波罗控股股份有限公司公开发行2016年公司债券募集说明书_2690164070476543
湖南友谊阿波罗控股股份有限公司,,2016-08-19,132,10,154578,5630,62,湖南友谊阿波罗控股股份有限公司公开发行2016年公司债券募集说明书_2690161322965358
广州市城市建设投资集团有限公司,,2016-08-19,112,8,160544,4750,56,2016年第二期广州市城市建设投资集团有限公司城市停车场建设专项债券募集说明书_2689424898756474
宜昌高新投资开发有限公司,,2016-08-19,144,8,143634,4610,61,2016年第一期宜昌高新投资开发有限公司公司债券募集说明书_2689238918545197
南昌轨道交通集团有限公司,,2016-08-18,134,10,158314,5438,57,2016年第一期南昌轨道交通集团有限公司可续期公司债券募集说明书_2687617392094445
江苏北固产业投资有限公司,,2016-08-18,74,10,134312,3680,40,2016年江苏北固产业投资有限公司公司债券募集说明书_2687602107003718
湖北省交通投资集团有限公司,,2016-08-17,66,6,200052,3346,33,2016年第一期湖北省交通投资集团有限公司可续期公司债券募集说明书_2687384805282674
无锡市太湖新城发展集团有限公司,,2016-08-17,142,8,223708,6876,62,2016年第一期无锡市太湖新城发展集团有限公司公司债券募集说明书_2686700092060710
新区经济技术发展有限公司,,2016-08-17,70,6,164714,2265,34,2016年第一期马鞍山南部承接产业转移新区经济技术发展有限公司公司债券募集说明书_2687535297048954
平湖市城市发展投资（集团）有限公司,,2016-08-16,134,0,158876,5134,62,2016年平湖市城市发展投资（集团）有限公司公司债券募集说明书_2686675732134086
南京溧水城市建设集团有限公司,,2016-08-16,120,0,143406,4761,56,2016年南京溧水城市建设集团有限公司公司债券募集说明书_2684302952356273
安顺市国有资产管理有限公司,,2016-08-11,170,8,206552,6425,81,2016年安顺市国有资产管理有限公司公司债券募集说明书_2681570650195379
扬中市城市建设投资发展总公司,,2016-08-11,96,10,129052,3752,42,2016年扬中市城市建设投资发展总公司企业债券募集说明书_2681547057515519
嘉兴市湘家荡发展投资集团有限公司,,2016-08-10,42,6,67851,1946,22,2016年第一期嘉兴市湘家荡发展投资集团有限公司公司债券募集说明书_2681503270154617
明书 有限公司,,2016-08-10,140,12,162826,4522,52,2016年寒亭区停车场建设项目项目收益专项债券募集说明书_2681333619382005
南京栖霞国有资产经营有限公司,,2016-08-08,114,4,210658,3694,40,2016年南京栖霞国有资产经营有限公司双创孵化专项债券募集说明书_2677243733214084
重庆市南川区城市建设投资有限责任公司,,2016-08-08,37,3,63962,1648,17,2016年重庆市南川区城市建设投资有限责任公司公司债券募集说明书_2677873980030039
江苏海州发展集团有限公司,,2016-08-08,0,0,0,0,0,2016年江苏海州发展集团有限公司公司债券募集说明书_2677870804080542
肥鑫城国有资产经营有限公司,,2016-08-08,128,14,166312,5758,52,2016年合肥鑫城国有资产经营有限公司公司债券募集说明书_2677932041477084
禹州市投资总公司,,2016-08-05,100,16,134556,4218,50,2016年禹州市投资总公司城市停车场建设专项债券募集说明书_2677027952952332
秦皇岛城市发展投资控股集团有限公司,,2016-08-04,48,2,86943,1374,17,秦皇岛城市发展投资控股集团有限公司企业债券募集说明书_2677067104443152
唐山三友碱业（集团）有限公司,,2016-08-04,180,24,332340,7209,89,唐山三友碱业（集团）有限公司公开发行2016年公司债券募集说明书_2676499087776548
东港投资发展集团有限公司,,2016-08-04,114,30,289078,7109,56,2016年东港投资发展集团有限公司面向合格投资者公开发行公司债券募集说明书_2676396491554365
唐山三友碱业（集团）有限公司,,2016-08-04,180,24,332340,7209,89,唐山三友碱业（集团）有限公司公开发行2016年公司债券募集说明书_2676502034687407
南京新城科技园建设发展有限责任公司,,2016-08-04,130,10,178662,4197,53,2016年南京新城科技园建设发展有限责任公司双创孵化专项债券募集说明书_2675482131637813
湖南省攸州投资发展集团有限公司,,2016-08-04,40,8,76182,1589,19,2016年湖南省攸州投资发展集团有限公司公司债券募集说明书_2676150341222245
重庆两江开发投资集团有限公司,,2016-08-03,76,0,181402,4376,41,【以此为准】2016年第二期重庆两江开发投资集团有限公司公司债券募集说明书_2675475104805915
基础设施建设投资有限公司,,2016-08-03,39,5,53318,1873,20,2016年十堰经济开发区城市基础设施建设投资有限公司公司债券募集说明书_2675338096474977
海城市金财土地房屋投资有限公司,,2016-08-03,54,4,83180,2269,22,2016年海城市金财土地房屋投资有限公司公司债券募集说明书_2675325663571144
樟树市国有资产营运有限责任公司,,2016-08-01,108,4,140445,3288,41,2016年樟树市国有资产营运有限责任公司公司债券募集说明书_2674516512100240
公司,,2016-07-29,96,10,164616,3858,42,2016年湘潭市城市建设投资经营有限责任公司城市停车场建设专项债券募集说明书_2671851662575990
公司,,2016-07-29,96,10,164616,3858,42,2016年湘潭市城市建设投资经营有限责任公司城市停车场建设专项债券募集说明书_2671848059665209
北控水务集团有限公司,,2016-07-29,172,10,266328,7718,92,北控水务集团有限公司2016年公开发行绿色公司债券募集说明书_2671223288148906
西安经发集团有限责任公司,,2016-07-28,164,14,304796,7897,85,西安经发集团有限责任公司公开发行2016年公司债券募集说明书_2670328549474045
古蔺县国有资产经营有限责任公司,,2016-07-27,92,10,173708,4025,49,2016年古蔺县国有资产经营有限责任公司公司债券募集说明书_2670167393899882
枣阳市城市建设投资经营有限公司,,2016-07-27,112,8,171322,3806,44,2016年枣阳市城市建设投资经营有限公司公司债券募集说明书_2669484773478334
铁牛集团有限公司,,2016-07-27,160,18,328744,7508,70,铁牛集团有限公司公开发行2016年公司债券募集说明书_2669431409073532
泸州市兴泸投资集团有限公司,,2016-07-27,90,4,141740,3137,36,2015年泸州市兴泸投资集团有限公司公司债券募集说明书_2668561616717423
北新建材集团有限公司,,2016-07-26,130,14,160648,6228,68,北新建材集团有限公司公开发行2016年公司债券募集说明书_2669306452841481
永兴银都投资建设发展（集团）有限公司,,2016-07-26,79,13,132099,2020,33,2016年永兴银都投资建设发展（集团）有限公司公司债券募集说明书_2668456882398262
新民市路鑫市政工程有限公司,,2016-07-25,118,12,119694,6468,56,2016年新民市路鑫市政工程有限公司公司债券募集说明书_2665856746839483
黔西南州宏升资本营运公司,,2016-07-22,274,38,159440,9453,93,2016年黔西南州宏升资本营运公司小微企业增信集合债券募集说明书_2664402077811706
辽宁药都发展有限公司,,2016-07-22,112,6,105920,4880,53,2016年辽宁药都发展有限公司公司债券募集说明书_2664091083004192
东旭集团有限公司,,2016-07-21,184,16,317096,8112,96,东旭集团有限公司2016年第二期公司债券募集说明书_2664282505506397
珠海汇华基础设施投资有限公司,,2016-07-21,104,12,122882,3958,50,2016年珠海汇华基础设施投资有限公司综合管廊建设专项债券募集说明书_2659802190150043
江新区城市投资有限公司,,2016-07-21,200,18,136386,6257,62,2016年牡丹江新区城市投资有限公司小微企业增信集合债券募集说明书_2662609029338587
中国江苏国际经济技术合作集团有限公司,,2016-07-20,164,12,226050,7684,82,中国江苏国际经济技术合作集团有限公司公开发行2016年公司债券募集说明书_2663375673675503
怀化市交通建设投资有限公司,,2016-07-20,96,2,125796,5070,45,2016年怀化市交通建设投资有限公司公司债券募集说明书_2663265119676125
投资集团 有限公司,,2016-07-19,114,8,165758,4776,56,2016年第一期广州市城市建设投资集团有限公司城市停车场建设专项债券募集说明书_2663351290254276
投资集团 有限公司,,2016-07-19,114,8,165758,4776,56,2016年第一期广州市城市建设投资集团有限公司城市停车场建设专项债券募集说明书_2663349917153516
广东省广晟资产经营有限公司,,2016-07-19,140,10,229288,7145,69,2016年第二期广东省广晟资产经营有限公司公司债券募集说明书_2662679708289642
汉川市汉融投资建设开发有限公司,,2016-07-18,108,8,117670,4478,49,2016年汉川市汉融投资建设开发有限公司公司债券募集说明书_2662290774567697
阳市鑫源投资开发有限责任公司,,2016-07-18,136,12,182978,5182,62,2016 年当阳市鑫源投资开发有限责任公司公司债券募集说明书_2659785526956363
人总经理办公会公司,,2016-07-18,82,6,99052,2820,34,2016年吉林经济技术开发区经济技术开发总公司企业债券募集说明书_2659081980958565
徐州市贾汪城市建设投资有限公司,,2016-07-18,78,10,150892,2893,34,徐州市贾汪城市建设投资有限公司公司债券募集说明书_2659877276401341
大药房连锁股份有限公司,,2016-07-15,174,12,297500,7580,94,老百姓公开发行2016年公司债券募集说明书（面向合格投资者）_603883_20160715_1
柳州东通投资发展有限公司,,2016-07-15,70,2,117614,2594,29,2016年柳州东通投资发展有限公司公司债券募集说明书_2659037963662372
大药房连锁股份有限公司,,2016-07-15,174,12,297500,7580,94,老百姓大药房连锁股份有限公司公开发行2016年公司债券募集说明书（面向合格投资者）_2659141264161867
大连旅顺建设发展投资有限公司,,2016-07-15,84,14,126616,4460,42,2016年大连旅顺建设发展投资有限公司双创孵化专项债券募集说明书_2658178838024782
北京首都创业集团有限公司,,2016-07-15,58,2,109556,2136,25,2016年第一期北京首都创业集团有限公司可续期公司债券募集说明书_2658942763605621
江苏筑富实业投资有限公司,,2016-07-14,130,14,138802,5026,54,2016年江苏筑富实业投资有限公司公司债券募集说明书_2659056266441240
邯郸市城市建设投资有限公司,,2016-07-14,204,26,102524,7762,73,2016年邯郸市城市建设投资有限公司小微企业增信集合债券募集说明书_2658030369811439
青州市宏源公有资产经营有限公司,,2016-07-12,130,6,106514,4878,52,2016年青州市宏源公有资产经营有限公司小微企业增信集合债券募集说明书_2653884357305489
洪泽县城市资产经营有限公司,,2016-07-11,104,4,151822,3884,51,2016年洪泽县城市资产经营有限公司公司债券募集说明书_2653952025312959
公司,,2016-07-11,92,10,157290,3037,46,2016年沪宁城铁惠山站区棚户区改造项目收益债券募集说明书_2653065686981441
扬中市交通投资发展有限公司,,2016-07-08,78,10,141286,3780,37,2016年扬中市交通投资发展有限公司公司债券募集说明书_2652962079962481
&quot;&quot;V公司,,2016-07-08,78,6,144780,3312,40,2016年江西省投资集团公司企业债券募集说明书_2622832593916090
扬中市交通投资发展有限公司,,2016-07-08,78,10,141286,3780,37,2016年扬中市交通投资发展有限公司公司债券募集说明书_2652961831162241
威海市文登区城市资产经营有限公司,,2016-07-07,116,6,140122,4357,58,2016年威海市文登区城市资产经营有限公司公司债券募集说明书_2652118673976733
华能新能源股份有限公司,,2016-07-07,127,6,152923,5636,62,华能新能源股份有限公司公开发行2016年绿色公司债券募集说明书_2651351764881781
公司,,2016-07-06,98,14,219092,4742,49,2016年丰县黄庄区块棚户区改造一期工程项目收益债券募集说明书_2652202377363387
金堂县现代农业投资有限公司,,2016-07-06,134,10,154806,6133,70,2016年金堂县现代农业投资有限公司公司债券募集说明书_2651972806372533
湖南省娄底经济技术开发投资建设有限公司,,2016-07-06,114,6,118536,4712,50,2016年湖南省娄底经济技术开发投资建设有限公司公司债券募集说明书_2650273762013661
永泰能源股份有限公司,,2016-07-05,186,8,331034,8858,88,永泰能源公开发行2016年公司债券募集说明书（第三期）（面向合格投资者）_600157_20160705_1
望城经开区建设开发公司,,2016-07-05,84,10,141744,3148,38,2016年望城经开区建设开发公司双创孵化专项债券募集说明书_2651120792941875
永泰能源股份有限公司,,2016-07-05,186,8,331034,8858,88,永泰能源股份有限公司2016年公司债券募集说明书(第三期)_2650281367346706
nan公司,,2016-07-04,200,18,354358,8968,106,首创股份2016年公开发行公司债券募集说明书（面向合格投资者）_600008_20160704_1
北京首创股份有限公司,,2016-07-04,200,18,354358,8968,106,北京首创股份有限公司2016年公开发行公司债券募集说明书_2650456599997743
眉山市东坡发展投资有限公司,,2016-07-04,43,5,81731,1996,18,2016年眉山市东坡发展投资有限公司公司债券募集说明书_2650307574445481
聊城市兴业经济开发有限公司,,2016-07-04,124,8,99356,4874,56,2016年聊城市兴业经济开发有限公司公司债券募集说明书_2647646786330602
舒城县城镇建投资有限责任公司,,2016-07-04,106,4,160324,3390,42,2016年舒城县城镇建投资有限责任公司公司债券募集说明书_2647169638949521
泰安泰山控股有限公司,,2016-07-01,120,10,116258,4480,54,2016年泰安泰山控股有限公司公司债券募集说明书_2645948105330541
泰州市姜堰城市建设投资发展有限公司,,2016-07-01,110,6,117538,4494,45,2016年泰州市姜堰城市建设投资发展有限公司公司债券募集说明书_2646200552733917
武汉市江夏城投集团有限公司,,2016-06-30,116,12,139164,4280,54,2016年武汉市江夏城投集团有限公司公司债券募集说明书_2645357302762278
广安经济技术开发区恒生投资开发有限公司,,2016-06-30,56,11,76786,2910,30,2016年广安经济技术开发区恒生投资开发有限公司公司债券募集说明书_2645974769326115
营口市老边区城市建设投资发展有限公司,,2016-06-29,118,10,117472,4088,56,2015年第二期营口市老边区城市建设投资发展有限公司公司债券募集说明书_2645199244596125
抚州市临川区城镇建设开发投资有限公司,,2016-06-28,82,8,131502,4390,45,2016年抚州市临川区城镇建设开发投资有限公司公司债券募集说明书_2644434305418319
公司,,2016-06-28,77,4,146883,3365,35,2016年盘县城市棚户区改造项目（翰林片区）项目收益债券募集说明书_2644196736586030
北京汽车股份有限公司,,2016-06-28,130,6,201822,5632,66,2016年第一期北京汽车股份有限公司绿色债券募集说明书_2641843119469089
大冶市城市建设投资开发有限公司,,2016-06-28,142,10,193188,5507,64,2016年第一期大冶市城市建设投资开发有限公司公司债券募集说明书_2644259084106227
邦信资产管理有限公司,,2016-06-27,232,12,213488,11164,114,邦信资产管理有限公司公开发行2016年公司债券募集说明书_2644228026287176
宁波奥克斯置业有限公司,,2016-06-24,144,14,241596,6396,68,宁波奥克斯置业有限公司公开发行2016年公司债券募集说明书_2641633244182536
闽西兴杭国有资产投资经营有限公司,,2016-06-23,244,22,315498,11670,118,闽西兴杭国有资产投资经营有限公司公开发行公司债券募集说明书_2640839695097075
曲靖经济技术开发区建设投资集团有限公司,,2016-06-22,72,6,108268,2356,32,2016年曲靖经济技术开发区建设投资集团有限公司公司债券募集说明书_2638323896436748
安徽新华发行（集团）控股有限公司,,2016-06-21,152,19,158413,7024,76,安徽新华发行（集团）控股有限公司2016年面向合格投资者公开发行可交换公司债券募集说明书_2638220778330498
海航集团有限公司,,2016-06-21,92,2,124112,3646,42,2016年第一期海航集团有限公司可续期公司债券募集说明书_2635792528174643
