id,doctitle,doccontent,docpuburl,docpubtime,doctype
a512a038-0a80-445e-bafa-0bf751654a72,特发信息：公开发行A股可转换公司债券募集说明书,1-1-1 股票简称：特发信息 股票代码 ：000070 深圳市特发信息股份有限公司 （深圳市南山区高新区中区科丰路 2 号特发信息港大厦 B 栋 18 楼） 公开发行 A 股可转换公司债券 募集说明,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-14/c9d703c7-d311-41d4-8ee5-e9aca1beca9f.PDF,2018-11-14,PDF
bad838f3-1037-441d-a30d-ad1e89a030ed,钧达股份：公开发行可转换公司债券募集说明书,"1 证券代码：002865 证券简称：钧达股份 海南钧达汽车饰件股份有限公司 Hainan Drinda Automotive Trim Co., Ltd. （海口市南海大道 168 号海口保税区内海",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-12-06/cd61aa96-8b7f-4044-8043-5919bd5988a1.PDF,2018-12-06,PDF
82b40ecf-18cd-404c-b00d-87b427a1b4e9,光华科技：公开发行可转换公司债券募集说明书,股票简称：光华科技 股票代码：002741 广东光华科技股份有限公司 公开发行可转换公司债券 募集说明书 （注册地址：汕头市大学路 295号） 保荐机构（主承销商） 签署日期：2018年 12 月 1,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-12-12/e2a9d46d-4fc1-4aa4-b0b2-1a81cc6ea4ef.PDF,2018-12-12,PDF
9dd79ff9-64aa-49c5-b9eb-f83690da19d5,华源控股：公开发行可转换公司债券募集说明书,"苏州华源控股股份有限公司 可转换公司债券募集说明书 证券简称：华源控股 证券代码：002787 苏州华源控股股份有限公司 SUZHOU HYCAN HOLDINGS CO.,LTD. （苏州市吴江区桃",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-23/2ba41cab-f916-442b-b30b-ba24ade1c4dc.PDF,2018-11-23,PDF
21e23f3d-3b85-46a9-ae3c-ea7d24565067,张家港行：公开发行A股可转换公司债券募集说明书,1-1-1 股票简称：张家港行 股票代码：002839.SZ （注册地址：江苏省张家港市人民中路 66号） 江苏张家港农村商业银行股份有限公司 公开发行 A 股可转换公司债券 募集说明书 保荐机构 保,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-08/0efd1973-a43c-4627-858e-5fb96d9de1b9.PDF,2018-11-08,PDF
d53151fc-4944-42e7-8fa7-a493beea6708,洲明科技：公开发行可转换公司债券募集说明书提示性公告,证券代码：300232 证券简称：洲明科技 公告编号：2018-141 深圳市洲明科技股份有限公司 公开发行可转换公司债券募集说明书提示性公告 保荐人（主承销商）：中泰证券股份有限公司 本公司及董事会,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-02/df33be13-c96d-449a-b240-81e18c0df148.PDF,2018-11-02,PDF
2484f5b1-311c-4220-89b9-f7fad022c9a5,中航光电：公开发行可转换公司债券募集说明书,"股票简称：中航光电 股票代码：002179 中航光电科技股份有限公司 AVIC Jonhon Optronic Technology Co.,Ltd. （注册地址：中国（河南）自由贸易试验区洛阳片区周",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-01/ede364e6-f1d7-4b97-b117-0d40529a6efb.PDF,2018-11-01,PDF
f6b5daa2-0ab8-4afb-ae0d-1aff12d2bac9,利尔化学：公开发行可转换公司债券募集说明书（摘要）,"利尔化学股份有限公司 公开发行可转换公司债券募集说明书摘要 股票简称：利尔化学 股票代码：002258 利尔化学股份有限公司 LIER CHEMICAL CO.,LTD. （住所：四川省绵阳经济技术开",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-15/5cf6cadd-9f76-42ab-9c9d-b4df896543aa.PDF,2018-10-15,PDF
c0043799-a72e-4401-87ad-69497a1d4e26,利尔化学：公开发行可转换公司债券募集说明书,"利尔化学股份有限公司 公开发行可转换公司债券募集说明书 1 股票简称：利尔化学 股票代码：002258 利尔化学股份有限公司 LIER CHEMICAL CO.,LTD. （住所：四川省绵阳经济技术开",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-10-15/318c9c61-2387-4866-8470-18fb2468aa43.PDF,2018-10-15,PDF
d653562c-6c73-4eb4-87a8-b2127a52192e,中航机电：公开发行可转换公司债券募集说明书（更新后）,1 股票简称：中航机电 股票代码：002013 中航工业机电系统股份有限公司 （湖北省襄阳市高新区追日路 8号） 公开发行可转换公司债券募集说明书 联合保荐机构（主承销商） （中国（上海）自由贸易试验,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-31/3c468fb2-88d5-4255-87ee-b8aa41563ea5.PDF,2018-08-31,PDF
0469cbfc-6cdf-41fb-9c32-aa29e80a7aeb,中航机电：公开发行可转换公司债券募集说明书（已取消）,1 股票简称：中航机电 股票代码：002013 中航工业机电系统股份有限公司 （湖北省襄阳市高新区追日路 8号） 公开发行可转换公司债券募集说明书 联合保荐机构（主承销商） （中国（上海）自由贸易试验,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-23/8f5b609a-36c0-4074-a68f-cfb6cfadedc1.PDF,2018-08-23,PDF
b0c691dd-3f44-4ccc-aa41-fbf9e7b2c28e,铁道1823：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-21/2566b76c-75d1-4063-8abf-a6b8230cb4c1.PDF,2018-08-21,PDF
7ebd51a8-becb-4912-bc91-7914e5be3f18,铁道1824：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-21/18a2cca9-3443-461c-acf1-823f9c252db8.PDF,2018-08-21,PDF
ead8a965-c344-4636-abd2-0c2cf7449b69,岭南股份：公开发行可转换公司债券募集说明书,"1 股票简称：岭南股份 股票代码：002717 岭南生态文旅股份有限公司 LingNan Eco&Culture-Tourism Co., Ltd. （广东省东莞市东城街道东源路东城文化中心扩建楼 1",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-08-10/43d4fe64-c445-43f0-a486-b506fdabc91e.PDF,2018-08-10,PDF
76e509f7-adf1-4968-83c9-07726c543b00,东音股份：公开发行A股可转换公司债券募集说明书,股票简称：东音股份 股票代码：002793 浙江东音泵业股份有限公司 公开发行 A股可转换公司债券 募集说明书 （注册地址：温岭市大溪镇大石一级公路南侧） 保荐机构（主承销商） 签署日期： 年 月 日,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-31/e10cd869-afdc-46fa-b3fa-90ff7ab3c4d4.PDF,2018-07-31,PDF
6e0788e6-7a9b-46a1-83a8-08319c7fb7dd,凯中精密：公开发行可转换公司债券募集说明书,证券简称：凯中精密 证券代码：002823 （注册地址：深圳市坪山区龙田街道规划四路 1号） 深圳市凯中精密技术股份有限公司 公开发行可转换公司债券 募集说明书 保荐机构（主承销商） （注册地址：深圳,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-26/00ca0f64-0266-4d98-8d43-71494fbbb24f.PDF,2018-07-26,PDF
c95447c1-cf2f-4ea2-a8a4-dd8fbdbaa7aa,铁道1821：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-24/15140d23-6a11-451c-8d0b-dc9bb05a37ea.PDF,2018-07-24,PDF
f9703fe6-1dc7-4098-a405-cf3611a7d5a6,横河模具：公开发行A股可转换公司债券募集说明书,"宁波横河模具股份有限公司 公开发行 A股可转换公司债券募集说明书 股票简称：横河模具 股票代码：300539 宁波横河模具股份有限公司 NINGBO HENGHE MOULD CO., LTD. （慈",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-24/05879baf-99eb-4d5a-8288-9ca055f94394.PDF,2018-07-24,PDF
c90cb37f-9ae7-4de3-bc32-dd1f307c9f48,凯发电气：公开发行可转换公司债券募集说明书提示性公告,证券代码：300407 证券简称：凯发电气 公告编号：2018-044 天津凯发电气股份有限公司 公开发行可转换公司债券募集说明书提示性公告 保荐人（主承销商）：广发证券股份有限公司 本公司及董事会全,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-25/b88e11cb-f63e-44e1-b44d-6bbb445031e5.PDF,2018-07-25,PDF
38f32212-7ae9-4f40-af87-952c86afca09,铁道1822：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-24/fff81b5b-11a6-4b04-9da1-f9417a542728.PDF,2018-07-24,PDF
e7fbd8b3-8bf1-4065-a6c6-f956ecd07719,德尔股份：公开发行可转换公司债券募集说明书,"证券简称：德尔股份 证券代码：300473 阜新德尔汽车部件股份有限公司 FuxinDare Automotive PartsCo.,Ltd. （阜新市经济开发区 E 路 55 号） 公开发行可转换公",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-16/8d6c078a-7327-473f-a28c-8ecdbf1ddd48.PDF,2018-07-16,PDF
3ace80d9-244f-4a5f-9928-9dc2e10c3d36,盛路通信：公开发行可转换公司债券募集说明书（摘要）,证券代码：002446 证券简称：盛路通信 上市地点：深圳证券交易所 广东盛路通信科技股份有限公司 （住所：佛山市三水区西南工业园进业二路四号） 公开发行可转换公司债券 募集说明书（摘要） 保荐机构（,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-13/9dfa815c-7ef4-4482-8e7c-6f4aee211931.PDF,2018-07-13,PDF
cd7f1659-2a94-4857-aa9c-e8ebfa12c815,盛路通信：公开发行可转换公司债券募集说明书,股票简称：盛路通信 股票代码：002446 上市地点：深圳证券交易所 广东盛路通信科技股份有限公司 （住所：佛山市三水区西南工业园进业二路四号） 公开发行可转换公司债券 募集说明书 保荐机构（主承销商,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-13/c9c0099f-a4ff-4b82-8700-04b98923a905.PDF,2018-07-13,PDF
f7d2d591-fd96-4b63-893a-9694f0e64355,铁道1819：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-03/26820d00-90ce-4ce4-80f1-7e96153bfab2.PDF,2018-07-03,PDF
6a0fdcdb-d97c-4637-8f65-1b0a9b05de5a,博世科：创业板公开发行可转换公司债券募集说明书,2-1-1 股票简称：博世科 股票代码：300422 广西博世科环保科技股份有限公司 （住所：广西南宁市高新区科兴路 12 号） 创业板公开发行可转换公司债券 募集说明书 （封卷稿） 保荐机构（主承销,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-03/c6e7baaa-57ce-4945-8dd0-fb1e5b3a35ff.PDF,2018-07-03,PDF
90333ebe-1d62-41cd-a49f-dd4d59c081db,铁道1820：2018年中国铁路建设债券募集说明书（2018年7月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-07-03/a3afbb9d-b58e-47e5-a695-b89b50ac19cc.PDF,2018-07-03,PDF
8ed0851a-fb6f-4ae2-a5e3-1a2aae33bb27,湖北广电：公开发行可转换公司债券募集说明书,证券代码：000665 证券简称：湖北广电 湖北省广播电视信息网络股份有限 公司 （湖北省武汉市经济技术开发区工业区） 公开发行可转换公司债券 募集说明书（修订稿） 保荐机构（主承销商） （山东省济南,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-26/5423a0a4-d92d-4b12-a01d-0e4cffb82a45.PDF,2018-06-26,PDF
ffbb5c78-a52f-4250-900b-d9d212005d9f,华通医药：公开发行可转换公司债券募集说明书,"证券简称：华通医药 证券简称：002758 浙江华通医药股份有限公司 Zhejiang Huatong Pharmaceutical Co., Ltd. （浙江省绍兴市柯桥区轻纺城大道 1605 号）",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-12/70ff64aa-10ca-4f97-bb22-b4d7c2a7319f.PDF,2018-06-12,PDF
02b1ced4-4b18-4235-90a8-a3960134794d,华通医药：公开发行可转换公司债券募集说明书（摘要）,证券简称：华通医药 证券简称：002758 浙江华通医药股份有限公司 （注册地址：浙江省绍兴市柯桥区轻纺城大道 1605 号） 公开发行可转换公司债券 募集说明书（摘要） 保荐机构（主承销商） 二零一,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-12/779c66a7-c3bb-4b07-9651-cbcbe570806d.PDF,2018-06-12,PDF
d8ff2fff-dfd7-4f50-887b-06e0e5d01e85,寒锐钴业：创业板公开发行可转换公司债券募集说明书提示性公告,1 证券代码:300618 证券简称:寒锐钴业 公告编号:2018-102 南京寒锐钴业股份有限公司 创业板公开发行可转换公司债券募集说明书提示性公告 南京寒锐钴业股份有限公司（以下简称“寒锐钴业”、,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-16/f6a46eba-7dc4-4be8-8576-f8aba14a44bd.PDF,2018-11-16,PDF
f51001c0-a74a-481c-b1ec-c7937afd13e3,寒锐钴业：创业板公开发行可转换公司债券募集说明书,"南京寒锐钴业股份有限公司 可转换公司债券募集说明书 股票简称：寒锐钴业 股票代码：300618 南京寒锐钴业股份有限公司 Nanjing Hanrui Cobalt Co., Ltd. （住所：南京市",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-11-16/5ecfaca3-8f6e-41e8-80ee-466e613b8e03.PDF,2018-11-16,PDF
8cd10faf-39e1-4996-9b7c-dc7c10fc5ba3,铁道1817：2018年中国铁路建设债券募集说明书（2018年5月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-05/c6406357-1abe-4fba-97e2-8db579f0f15d.PDF,2018-06-05,PDF
014ca5af-f9aa-4a45-af70-3d3014a2f46c,三 力 士：公开发行可转换公司债券募集说明书,"三力士股份有限公司 公开发行可转换公司债券募集说明书 股票简称：三力士 股票代码：002224 三力士股份有限公司 Sanlux Co.,Ltd （注册地址：浙江省绍兴县柯岩街道余渚村） 公开发行可转",http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-06/9164270b-9df9-4cc4-a0e2-0a8d0e2ba804.PDF,2018-06-06,PDF
de1e45c7-842d-4400-86bc-4fc757b39cdc,铁道1818：2018年中国铁路建设债券募集说明书（2018年5月更新版）,声明及提示 声明及提示 一、发行人声明 发行人已批准本次债券募集说明书，承诺其中不存在虚假记载、 误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和 连带的法律责任。 二、发行人相关负责人声,http://disc.static.szse.cn/download/disc/disk01/finalpage/2018-06-05/715b7c80-f1e5-4911-b4be-df06a0b60df2.PDF,2018-06-05,PDF
